exact,approx
0,0
1,9
0,8
0,7
1,6
1,7
3,9
0,4
0,10
0,1
1,5
0,0
0,8
0,5
0,6
0,5
0,4
0,1
0,2
0,1
0,1
0,4
0,9
0,4
1,2
0,0
0,0
0,5
0,1
0,5
0,0
0,1
0,0
0,3
0,4
1,4
1,7
0,6
0,7
0,3
0,4
1,9
0,3
0,3
0,1
3,5
0,2
0,1
2,12
0,1
0,5
1,4
2,5
0,5
0,2
0,9
7,20
0,3
0,10
0,1
0,0
1,8
0,1
2,7
0,7
0,1
0,1
1,10
0,3
0,8
0,6
1,9
0,2
1,3
0,7
1,10
0,5
2,7
0,1
4,12
0,0
0,4
1,8
0,4
0,7
0,1
0,2
0,6
0,7
0,7
1,6
4,7
1,5
0,3
0,1
0,3
0,4
0,6
0,2
0,7
1,9
0,2
0,1
0,0
0,9
0,1
0,9
3,5
0,4
1,5
0,0
0,1
0,0
0,0
0,6
0,4
0,8
0,0
0,0
0,1
0,2
0,1
0,4
2,12
0,0
0,0
0,3
0,5
1,9
0,0
0,7
0,5
0,0
0,2
0,0
0,6
0,0
0,1
0,12
4,10
0,2
0,2
0,7
0,0
1,9
3,5
0,0
0,0
1,6
0,5
0,5
1,8
4,16
0,3
8,11
1,3
0,1
0,5
7,11
0,6
2,7
1,5
2,7
0,2
0,3
0,2
1,5
2,17
1,4
0,6
1,9
0,3
0,1
0,5
0,3
0,4
0,13
0,5
0,0
0,1
0,0
0,1
0,2
0,0
0,5
0,1
0,0
2,4
0,2
0,3
1,13
0,4
0,2
1,4
0,5
0,7
0,2
0,2
4,9
0,0
0,12
0,7
0,3
0,1
0,0
0,10
2,4
0,0
0,1
0,4
0,6
0,5
1,5
0,3
0,6
2,4
0,4
0,6
0,9
0,4
0,6
0,0
2,8
0,0
0,5
1,8
2,5
0,9
0,7
0,0
0,9
0,6
0,0
0,4
0,2
0,1
0,12
0,4
5,14
0,9
0,6
4,15
0,6
0,5
0,0
0,4
0,1
0,0
0,3
0,6
0,0
1,5
0,0
0,4
2,3
0,5
2,7
2,3
0,13
0,6
0,8
0,2
0,6
2,11
2,7
0,4
0,3
0,1
1,10
0,2
0,14
0,0
0,0
0,3
0,3
3,11
0,7
0,11
0,1
3,7
0,9
0,0
2,5
0,5
0,6
0,8
2,5
0,1
0,0
0,5
0,0
0,6
1,4
0,1
0,8
1,4
0,2
0,6
1,3
2,9
0,10
0,4
0,8
0,4
0,0
0,2
0,1
0,0
0,0
1,4
0,4
0,4
0,5
3,9
0,11
2,17
0,10
0,2
0,3
0,5
1,6
0,6
1,4
0,5
1,4
0,1
0,3
0,0
0,1
1,6
0,4
1,6
0,4
0,0
0,0
0,2
2,7
1,8
0,9
0,8
0,1
0,0
0,2
3,9
1,3
0,1
0,0
0,0
0,2
0,1
0,1
0,0
0,5
0,1
1,3
0,4
0,3
0,2
2,6
1,2
0,4
0,6
1,10
0,7
2,9
1,9
0,1
0,4
1,5
0,1
0,12
0,1
0,2
0,3
0,2
0,5
0,2
0,3
0,0
0,0
0,1
0,4
0,4
0,2
0,7
0,8
0,0
1,10
0,1
0,4
0,6
0,1
0,4
0,1
0,2
0,0
0,6
0,1
0,0
3,7
2,11
0,0
1,9
0,4
2,10
0,7
0,3
0,6
0,2
0,2
0,1
4,9
0,0
0,6
9,13
0,4
1,1
0,5
0,1
0,1
2,8
0,1
0,0
0,7
0,5
0,8
0,1
4,6
0,4
0,2
0,1
0,1
1,7
0,5
1,2
1,6
0,1
0,2
2,4
0,7
0,4
0,5
0,7
0,0
1,5
1,6
0,6
0,3
0,8
0,5
0,3
0,3
1,5
1,12
0,0
1,9
0,6
0,2
0,2
1,6
0,2
0,4
0,7
4,8
3,11
0,2
2,8
0,5
0,5
0,0
0,7
0,1
0,0
0,4
0,1
0,1
1,6
0,1
0,1
0,5
0,0
1,6
0,0
2,10
1,3
0,2
0,0
0,7
0,5
0,5
0,0
0,5
5,17
2,4
0,5
0,6
0,9
1,7
0,4
0,2
2,5
0,6
0,3
0,1
0,2
0,7
0,6
0,0
0,0
0,3
2,2
0,2
0,0
0,5
1,2
0,0
0,0
0,4
0,1
0,5
0,7
1,5
0,1
1,4
0,0
1,6
0,0
0,3
0,0
0,2
0,5
2,7
1,10
0,7
4,15
0,0
0,0
2,7
1,4
2,6
0,2
1,9
0,1
0,5
0,2
0,1
2,4
1,5
5,11
0,2
0,6
0,6
0,0
1,5
3,5
0,1
0,6
0,7
1,7
1,5
7,12
0,1
0,3
0,7
0,0
1,5
0,3
1,12
6,16
0,4
1,2
0,0
0,5
0,0
0,4
0,9
4,13
0,3
0,0
0,1
0,10
0,5
1,4
0,5
0,0
0,6
5,10
0,3
0,0
4,15
0,0
3,3
0,1
0,1
0,4
3,9
0,3
1,7
0,3
0,1
2,12
0,9
1,8
1,13
0,0
0,1
0,0
0,1
0,2
0,1
0,2
0,3
1,8
0,3
0,8
0,0
0,4
0,1
0,0
0,3
0,4
2,4
0,1
0,3
0,1
0,5
0,2
1,6
0,5
0,6
0,0
1,2
0,0
0,1
0,1
1,8
0,4
0,3
0,7
0,1
0,4
0,7
0,0
0,5
0,2
0,0
0,0
0,8
0,1
0,2
0,2
0,6
0,1
2,7
0,0
0,1
2,11
0,0
0,2
0,6
0,0
0,3
0,3
0,1
0,4
0,4
0,0
0,6
0,8
0,7
0,7
2,5
0,4
0,12
0,1
2,11
0,3
0,2
0,4
5,7
0,7
1,9
0,4
3,10
0,1
0,8
6,11
0,0
2,8
9,18
0,1
0,0
0,6
0,2
0,0
0,0
0,7
0,1
5,14
0,2
0,2
0,0
0,4
1,3
0,3
0,0
0,3
0,1
2,8
0,1
0,0
0,2
2,9
3,3
0,2
1,6
0,2
0,0
0,4
0,6
0,0
0,3
2,12
0,1
0,3
0,3
2,7
0,0
0,1
0,0
0,1
2,6
0,3
0,7
1,5
0,8
0,0
2,4
0,2
0,6
0,8
0,4
0,1
0,4
0,4
0,1
0,6
2,10
0,1
1,4
0,4
2,6
1,8
0,1
0,1
1,4
0,3
0,0
1,2
0,2
1,5
1,3
0,0
3,5
0,1
2,9
0,0
0,1
0,0
0,3
0,6
0,3
0,7
0,7
0,2
0,6
0,2
0,4
1,7
0,2
2,8
0,1
3,4
1,3
0,5
0,6
3,11
0,0
0,4
2,12
0,3
0,1
2,8
0,5
0,4
1,6
2,6
0,4
1,5
2,9
0,5
1,4
0,6
0,1
0,1
0,1
0,2
2,11
0,1
2,7
0,3
1,3
0,0
0,3
0,1
0,5
0,1
0,3
0,1
0,1
0,1
1,9
5,19
1,7
0,4
0,2
0,4
1,3
0,5
0,4
1,6
0,2
0,1
0,2
0,5
1,3
1,5
0,3
0,5
0,5
0,5
1,4
0,2
0,8
2,13
0,14
0,1
2,6
0,5
3,7
0,2
0,0
0,5
0,7
0,8
0,1
1,6
0,8
0,2
5,11
3,9
0,5
0,4
1,9
0,8
2,10
0,3
2,8
0,2
0,4
0,5
0,5
0,5
0,7
0,0
0,7
0,3
0,6
0,5
0,2
0,2
1,7
1,7
0,1
0,2
5,10
0,1
0,0
0,3
0,0
0,2
0,3
0,6
2,9
1,3
0,3
0,3
0,6
0,4
0,0
0,0
0,2
1,9
1,5
0,2
0,0
1,6
0,0
3,16
1,8
0,7
0,4
0,0
0,7
0,3
0,4
0,6
0,3
0,12
1,6
0,2
0,4
1,6
2,6
0,1
0,3
0,0
0,6
0,0
3,8
0,4
0,0
0,1
1,5
0,1
0,2
0,2
0,7
0,2
1,8
0,8
0,4
0,2
0,0
0,0
0,0
0,3
1,2
3,12
1,5
0,0
3,10
0,3
0,3
0,5
0,5
0,1
4,12
0,9
1,10
0,0
0,2
0,2
0,3
0,9
0,2
3,8
0,7
0,4
0,2
0,2
0,11
0,6
0,6
0,1
0,5
0,8
3,5
0,0
0,8
0,3
0,3
0,4
0,0
0,4
0,3
0,2
0,5
0,2
1,13
0,4
2,8
0,3
0,4
0,3
0,5
0,0
0,5
0,0
1,5
